0,0,0,0,         10
                  41,    0,    0
                 249,    x,    0
                 457,    x,    0
                 666,    0,    0
                 874,    7,65535
                1082, 5927,65535
                1291,26613,    0
                1499,29551,65535
                1707, 9763,65535
                1916, 1683,    0
                2124,19253,65535
                2332,31405,    0
                2541,17639,    7
                2749, 1467,   42
                2957,10967,   59
                3165,30347,65471
                3374,25477,65402
                3582, 4702,  177
                3790, 4315,  345
                3999,24977,65214
                4207,30769,64895
                4415,11824,  652
                4624,  820, 1160
                4832,17156,64345
                5040,32067,63684
                5249,19696, 2308
                5457, 2023, 2766
                5665, 9234,60724
                5874,29245,64127
                6082,27023,28592
                6290, 6275,57812
                6499, 3161,46703
                6707,23105,12549
                6915,31898,11830
                7124,13827,47223
                7332,  350,58553
                7540,15063,25155
                7749,32216, 4403
                7957,21710,33009
                8165, 2202,61574
                8373, 7438,40029
                8582,28001, 5669
                8790,28441,18461
                8998, 7904,56232
                9207, 2473,53207
                9415,21237,14636
                9623,32091, 7648
                9832,15638,44410
               10040,  701,60987
               10248,12959,28545
               10457,31419, 3490
               10665,23546,29379
               10873, 3343,61185
               11082, 5929,43603
               11290,26615, 7215
               11498,29558,15299
               11707, 9773,53799
               11915, 1687,55773
               12123,19253,17798
               12332,31405, 5916
               12540,17639,40796
               12748, 1467,61782
               12957,10967,32368
               13165,30347, 3686
               13373,25477,25604
               13581, 4702,60006
               13790, 4315,47067
               13998,24977, 9287
               14206,30769,12376
               14415,11824,50976
               14623,  820,57976
               14831,17156,21208
               15040,32067, 4609
               15248,19696,37030
               15456, 2023,62076
               15665, 9234,36184
               15873,29245, 4382
               16081,27023,21976
               16290, 6275,58376
               16498, 3161,50292
               16706,23105,11786
               16915,31898, 9820
               17123,13827,47814
               17331,  350,59702
               17540,15063,24807
               17748,32216, 3805
               17956,21710,33213
               18165, 2202,61889
               18373, 7438,39958
               18581,28001, 5548
               18789,28441,18496
               18998, 7904,56292
               19206, 2473,53221
               19414,21237,14637
               19623,32091, 7648
               19831,15638,44410
